20372419.626819104,6475577.4163861936,60740013,130,80,09-15-16,"14:54:12,00",58.378843310000001,114.819973500000000,1257.540000000000000,2016-09-15T08:54:12Z,60740.012999999999000
20372416.160313427,6475575.4176316494,60741117,109,80,09-15-16,"14:54:13,00",58.378824369999997,114.819915400000000,1257.059999999999900,2016-09-15T08:54:13Z,60741.116999999998000
20372411.705943793,6475571.8435894232,60742291,94,80,09-15-16,"14:54:14,00",58.378791010000000,114.819841299999990,1257.059999999999900,2016-09-15T08:54:14Z,60742.290999999997000
20372407.774925072,6475567.6172359269,60743777,119,80,09-15-16,"14:54:15,00",58.378751950000002,114.819776500000000,1257.059999999999900,2016-09-15T08:54:15Z,60743.777000000002000
20372404.038317218,6475562.5251911515,60745590,102,80,09-15-16,"14:54:16,00",58.378705179999997,114.819715500000000,1257.059999999999900,2016-09-15T08:54:16Z,60745.589999999997000
20372399.973121163,6475554.8834635904,60747108,106,80,09-15-16,"14:54:17,00",58.378635439999996,114.819650300000010,1257.059999999999900,2016-09-15T08:54:17Z,60747.108000000000000
20372398.366866771,6475550.4881106401,60748261,109,80,09-15-16,"14:54:18,00",58.378595539999999,114.819625300000000,1256.579999999999900,2016-09-15T08:54:18Z,60748.260999999999000
20372396.408668589,6475544.0866620112,60749683,136,84,09-15-16,"14:54:19,00",58.378537540000004,114.819595400000000,1256.579999999999900,2016-09-15T08:54:19Z,60749.682999999997000
20372394.521552972,6475537.1690578107,60750922,117,80,09-15-16,"14:54:20,00",58.378474930000003,114.819567000000010,1256.579999999999900,2016-09-15T08:54:20Z,60750.921999999999000
20372392.35032782,6475528.5318519184,60751429,116,80,09-15-16,"14:54:21,00",58.378396809999998,114.819534700000010,1256.579999999999900,2016-09-15T08:54:21Z,60751.428999999996000
20372391.235648379,6475524.1294787908,60752361,124,80,09-15-16,"14:54:22,00",58.378356990000000,114.819518100000000,1256.099999999999900,2016-09-15T08:54:22Z,60752.360999999997000
20372389.476181801,6475517.8988173725,60753028,112,80,09-15-16,"14:54:23,00",58.378300580000001,114.819491500000000,1255.619999999999900,2016-09-15T08:54:23Z,60753.027999999998000
20372387.752924271,6475512.4238265846,60753642,116,80,09-15-16,"14:54:24,00",58.378250960000003,114.819465100000000,1255.619999999999900,2016-09-15T08:54:24Z,60753.642000000000000
20372386.267951034,6475507.4360120604,60754060,131,80,09-15-16,"14:54:25,00",58.378205780000002,114.819442499999990,1255.140000000000100,2016-09-15T08:54:25Z,60754.059999999998000
20372384.228735305,6475501.0650614295,60754371,102,80,09-15-16,"14:54:26,00",58.378148029999998,114.819411200000000,1254.660000000000100,2016-09-15T08:54:26Z,60754.370999999999000
20372383.125092696,6475497.9062763508,60754753,125,80,09-15-16,"14:54:27,00",58.378119370000000,114.819394100000000,1254.180000000000100,2016-09-15T08:54:27Z,60754.752999999997000
20372381.58021516,6475493.7797973249,60754884,114,80,09-15-16,"14:54:28,00",58.378081899999998,114.819370000000010,1254.180000000000100,2016-09-15T08:54:28Z,60754.883999999998000
20372380.041075889,6475489.8303613225,60754675,120,80,09-15-16,"14:54:29,00",58.378046019999999,114.819345900000000,1253.700000000000000,2016-09-15T08:54:29Z,60754.675000000003000
20372378.425248783,6475486.0439216318,60754541,124,80,09-15-16,"14:54:30,00",58.378011579999999,114.819320400000000,1253.220000000000000,2016-09-15T08:54:30Z,60754.540999999997000
20372376.671824627,6475482.167199784,60754187,113,80,09-15-16,"14:54:31,00",58.377976289999999,114.819292600000000,1253.220000000000000,2016-09-15T08:54:31Z,60754.186999999998000
20372374.742208436,6475478.454472064,60753626,110,80,09-15-16,"14:54:32,00",58.377942419999997,114.819261700000000,1252.740000000000000,2016-09-15T08:54:32Z,60753.625999999997000
20372372.674166482,6475475.1675702753,60753109,114,80,09-15-16,"14:54:33,00",58.377912330000001,114.819228200000000,1252.740000000000000,2016-09-15T08:54:33Z,60753.108999999997000
20372370.094049837,6475471.6175003266,60753003,116,80,09-15-16,"14:54:34,00",58.377879729999997,114.819186100000000,1252.250000000000000,2016-09-15T08:54:34Z,60753.002999999997000
20372367.566750783,6475468.251864736,60752915,119,80,09-15-16,"14:54:35,00",58.377848800000002,114.819144800000000,1252.250000000000000,2016-09-15T08:54:35Z,60752.915000000001000
20372364.892210562,6475464.4986506915,60753202,101,80,09-15-16,"14:54:36,00",58.377814350000001,114.819101200000010,1251.770000000000000,2016-09-15T08:54:36Z,60753.201999999997000
20372362.516575426,6475460.7546929866,60753892,111,80,09-15-16,"14:54:37,00",58.377780070000000,114.819062700000000,1251.290000000000000,2016-09-15T08:54:37Z,60753.892000000000000
20372360.252350677,6475456.4743225938,60754267,109,80,09-15-16,"14:54:38,00",58.377741010000001,114.819026400000000,1250.809999999999900,2016-09-15T08:54:38Z,60754.267000000000000
20372358.321800672,6475452.1920482423,60754805,122,80,09-15-16,"14:54:39,00",58.377702030000002,114.818995800000000,1250.329999999999900,2016-09-15T08:54:39Z,60754.805000000000000
20372356.447423544,6475447.6560428813,60756044,117,80,09-15-16,"14:54:40,00",58.377660790000000,114.818966300000000,1250.329999999999900,2016-09-15T08:54:40Z,60756.044000000002000
20372354.707066376,6475443.46123154,60756469,115,80,09-15-16,"14:54:41,00",58.377622649999999,114.818938900000010,1249.849999999999900,2016-09-15T08:54:41Z,60756.468999999997000
20372352.759678639,6475439.021225906,60756994,124,80,09-15-16,"14:54:42,00",58.377582250000003,114.818908100000000,1249.369999999999900,2016-09-15T08:54:42Z,60756.993999999999000
